County,Population,Area (sq km),Population density (person/km^2),Median income,Biden won,Trump won,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
El Paso County,839238.0,2623.65987,319.8730176865494,46871.0,1,0,0.006999999999999999,0.006999999999999999,0.033,0.075,0.877,1.5315315315315314,1.4120202751629254,-0.11951125636860604,decrease
Ellis County,184826.0,2434.5906,75.9166654138893,76871.0,0,1,0.027000000000000003,0.017,0.044000000000000004,0.19,0.722,0.9174311926605503,0.9316770186335404,0.014245825972990067,increase
Erath County,42698.0,2812.72914,15.180274343799773,52742.0,0,1,0.017,0.096,0.075,0.20199999999999999,0.609,0.0,1.081081081081081,1.081081081081081,increase
Falls County,17297.0,1991.7023100000001,8.684530772071053,39497.0,0,1,0.009000000000000001,0.028999999999999998,0.061,0.187,0.715,0.0,2.5316455696202533,2.5316455696202533,increase
Fannin County,35514.0,2310.27108,15.372222033788347,54648.0,0,1,0.11699999999999999,0.126,0.131,0.226,0.4,9.803921568627452,0.8130081300813007,-8.990913438546151,decrease
Fayette County,25346.0,2460.4905,10.301198074123839,60189.0,0,1,0.006,0.05,0.259,0.142,0.5429999999999999,0.0,5.238095238095238,5.238095238095238,increase
Fisher County,3830.0,2333.58099,1.641254371034279,46146.0,0,1,0.09699999999999999,0.09699999999999999,0.109,0.18600000000000003,0.51,0.0,0.0,0.0,no change
Floyd County,5712.0,2569.2700800000002,2.2231995166502694,50580.0,0,1,0.049,0.063,0.043,0.21600000000000003,0.629,0.0,9.615384615384615,9.615384615384615,increase
Foard County,1155.0,1831.12293,0.6307604918693253,43625.0,0,1,0.045,0.10099999999999999,0.23,0.147,0.47700000000000004,0.0,0.0,0.0,no change
Fort Bend County,811688.0,2266.24125,358.16486881085586,97743.0,1,0,0.024,0.03,0.057,0.115,0.774,0.5260389268805892,2.757575757575758,2.231536830695169,increase
Franklin County,10725.0,740.7371400000001,14.478820381545873,53783.0,0,1,0.013000000000000001,0.055,0.131,0.327,0.474,0.0,2.325581395348837,2.325581395348837,increase
Freestone County,19717.0,2292.14115,8.602000797376723,49471.0,0,1,0.025,0.121,0.085,0.13699999999999998,0.632,0.0,0.0,0.0,no change
Frio County,20306.0,2934.45867,6.919845287853382,46729.0,0,1,0.136,0.006999999999999999,0.038,0.10800000000000001,0.71,0.0,1.9455252918287935,1.9455252918287935,increase
Gaines County,21492.0,3890.1649799999996,5.524701422817292,63054.0,0,1,0.121,0.034,0.033,0.17600000000000002,0.636,0.0,0.0,0.0,no change
Galveston County,342139.0,1033.40601,331.07897253278026,73330.0,0,1,0.033,0.037000000000000005,0.105,0.207,0.617,0.1211631663974152,1.0501105379513633,0.9289473715539481,increase
Garza County,6229.0,2320.6310399999998,2.684183695138371,49627.0,0,1,0.034,0.079,0.067,0.207,0.612,0.0,2.3529411764705883,2.3529411764705883,increase
Gillespie County,26988.0,2747.97939,9.82103435644763,59155.0,0,1,0.095,0.091,0.107,0.114,0.5920000000000001,0.0,3.10077519379845,3.10077519379845,increase
Glasscock County,1409.0,2333.58099,0.6037930571246212,78456.0,0,1,0.069,0.054000000000000006,0.057999999999999996,0.23399999999999999,0.586,0.0,0.0,0.0,no change
Goliad County,7658.0,2211.8514600000003,3.462257813641789,60690.0,0,1,0.001,0.025,0.16,0.077,0.737,0.0,4.761904761904762,4.761904761904762,increase
Gonzales County,20837.0,2766.10932,7.532963303127874,53577.0,0,1,0.001,0.001,0.091,0.078,0.828,1.515151515151515,0.8426966292134831,-0.6724548859380318,decrease
Gray County,21886.0,2403.5107199999998,9.105846634210145,47952.0,0,1,0.139,0.069,0.134,0.222,0.436,0.0,0.0,0.0,no change
Grayson County,136212.0,2419.0506600000003,56.3080394521378,54815.0,0,1,0.064,0.063,0.095,0.247,0.53,1.2396694214876034,1.411764705882353,0.17209528439474964,increase
Gregg County,123945.0,709.65726,174.6547340331585,50180.0,0,1,0.053,0.064,0.07400000000000001,0.18600000000000003,0.623,4.320987654320987,0.6396588486140725,-3.6813288057069147,decrease
Grimes County,28880.0,2056.45206,14.043604789892354,52913.0,0,1,0.025,0.047,0.04,0.348,0.54,0.31055900621118016,6.000000000000001,5.68944099378882,increase
Guadalupe County,166847.0,1841.4828899999998,90.60469739145935,74496.0,0,1,0.027000000000000003,0.022000000000000002,0.032,0.125,0.794,0.34965034965034963,4.596412556053812,4.246762206403462,increase
Hale County,33406.0,2602.93995,12.833949550007867,48384.0,0,1,0.066,0.057999999999999996,0.027999999999999997,0.239,0.609,1.2396694214876034,1.694915254237288,0.45524583274968466,increase
Hall County,2964.0,2338.76097,1.2673377219904607,34673.0,0,1,0.179,0.065,0.19,0.157,0.41,0.0,0.0,0.0,no change
Hamilton County,8461.0,2165.23164,3.9076650477913764,50825.0,0,1,0.019,0.085,0.13699999999999998,0.267,0.493,0.0,2.8571428571428568,2.8571428571428568,increase
Hansford County,5399.0,2382.7908,2.265830470723657,38000.0,0,1,0.136,0.076,0.126,0.23399999999999999,0.428,0.0,0.0,0.0,no change
Hardeman County,3933.0,1800.04305,2.184947743333139,41859.0,0,1,0.042,0.11599999999999999,0.237,0.223,0.381,0.0,0.0,0.0,no change
Hardin County,57602.0,2315.4510600000003,24.877226297324544,60339.0,0,1,0.021,0.054000000000000006,0.102,0.187,0.636,0.0,1.0771992818671452,1.0771992818671452,increase
Harris County,4713325.0,4478.09271,1052.529571233464,61705.0,1,0,0.019,0.024,0.069,0.152,0.736,0.7625613705212576,2.190554137980839,1.4279927674595814,increase
Harrison County,66553.0,2328.40101,28.583134826934298,52220.0,0,1,0.086,0.037000000000000005,0.08800000000000001,0.19,0.599,0.0,0.0,0.0,no change
Hartley County,5576.0,3786.5653799999995,1.4725746000455961,58298.0,0,1,0.1,0.07,0.11599999999999999,0.28,0.434,0.0,0.0,0.0,no change
Haskell County,5658.0,2338.76097,2.419229700074908,40313.0,0,1,0.087,0.128,0.13699999999999998,0.209,0.439,0.0,0.0,0.0,no change
Hays County,230191.0,1756.0132199999998,131.08728190554285,68717.0,1,0,0.0,0.006999999999999999,0.022000000000000002,0.115,0.855,0.12048192771084339,1.6914749661705006,1.5709930384596573,increase
Hemphill County,3819.0,2356.8909,1.6203550194028922,70625.0,0,1,0.18899999999999997,0.125,0.139,0.138,0.409,0.0,0.0,0.0,no change
Henderson County,82737.0,2263.65126,36.550241400700564,47355.0,0,1,0.043,0.07200000000000001,0.127,0.19699999999999998,0.56,2.5,1.1363636363636365,-1.3636363636363635,decrease
Hidalgo County,868707.0,4063.6943100000003,213.77272347043248,40014.0,1,0,0.055,0.003,0.033,0.084,0.826,1.0566480774875258,2.81019656019656,1.7535484827090344,increase
Hill County,36649.0,2491.57038,14.709197177083153,53307.0,0,1,0.047,0.083,0.028999999999999998,0.242,0.599,0.0,0.8403361344537815,0.8403361344537815,increase
Hockley County,23021.0,2351.71092,9.789043289385244,48248.0,0,1,0.031,0.07200000000000001,0.06,0.237,0.6,0.0,2.2900763358778624,2.2900763358778624,increase
Hood County,61643.0,1092.97578,56.39923695289936,64041.0,0,1,0.009000000000000001,0.122,0.135,0.124,0.61,2.5,1.081081081081081,-1.418918918918919,decrease
Hopkins County,37084.0,2033.14215,18.239747771694173,52078.0,0,1,0.054000000000000006,0.026000000000000002,0.062,0.369,0.488,0.0,0.9433962264150944,0.9433962264150944,increase
Houston County,22968.0,3188.27769,7.203889445401477,37904.0,0,1,0.182,0.09,0.10400000000000001,0.15,0.474,0.0,6.976744186046512,6.976744186046512,increase
Howard County,36664.0,2338.76097,15.676676868778088,54208.0,0,1,0.063,0.063,0.061,0.218,0.596,0.0,1.7094017094017093,1.7094017094017093,increase
Hudspeth County,4886.0,11838.844290000001,0.4127092037292096,31677.0,0,1,0.013000000000000001,0.003,0.076,0.028999999999999998,0.88,0.0,28.57142857142857,28.57142857142857,increase
Hunt County,98594.0,2178.1815899999997,45.264362003904374,54959.0,0,1,0.069,0.07200000000000001,0.08199999999999999,0.285,0.49200000000000005,0.5494505494505495,2.3450586264656614,1.795608077015112,increase
Hutchinson County,20938.0,2297.3211300000003,9.114093683541752,52524.0,0,1,0.11199999999999999,0.064,0.128,0.249,0.447,0.0,4.081632653061225,4.081632653061225,increase
Irion County,1536.0,2724.66948,0.5637381015476417,47500.0,0,1,0.009000000000000001,0.047,0.057999999999999996,0.276,0.61,0.0,0.0,0.0,no change
Jack County,8935.0,2375.02083,3.762072267804068,52045.0,0,1,0.009000000000000001,0.018000000000000002,0.012,0.37,0.5920000000000001,0.0,0.0,0.0,no change
Jackson County,14760.0,2149.6917,6.866100845995731,62806.0,0,1,0.02,0.062,0.146,0.075,0.696,0.0,1.0989010989010988,1.0989010989010988,increase
Jasper County,35529.0,2429.41062,14.624534735918788,44370.0,0,1,0.04,0.055,0.068,0.125,0.7120000000000001,0.0,1.6736401673640167,1.6736401673640167,increase
Jeff Davis County,2274.0,5866.32735,0.38763605648430105,53088.0,0,1,0.009000000000000001,0.005,0.038,0.18600000000000003,0.763,0.0,0.0,0.0,no change
Jefferson County,251565.0,2341.35096,107.44437903491409,51248.0,0,1,0.036000000000000004,0.075,0.11,0.171,0.608,0.4528301886792453,0.9126106194690266,0.45978043078978126,increase
Jim Hogg County,5200.0,2942.22864,1.7673677461041915,33382.0,1,0,0.071,0.003,0.079,0.099,0.748,0.0,2.631578947368421,2.631578947368421,increase
Jim Wells County,40482.0,2240.34135,18.06956783616925,41505.0,0,1,0.057,0.006999999999999999,0.13699999999999998,0.051,0.748,0.0,1.3513513513513513,1.3513513513513513,increase
