County,Population,Area (sq km),Population density (person/km^2),Median income,Biden won,Trump won,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
Orange County,384940.0,2102.268983,183.10692071890784,79944.0,0,1,0.023,0.008,0.042,0.18,0.746,12.727272727272728,1.1173184357541899,-11.60995429151854,decrease
Orleans County,40352.0,1013.359487,39.820024895074575,52620.0,0,1,0.001,0.033,0.059000000000000004,0.213,0.693,41.37931034482759,0.0,-41.37931034482759,decrease
Oswego County,117124.0,2464.763984,47.51935713127492,55967.0,0,1,0.017,0.003,0.094,0.11900000000000001,0.7659999999999999,1.0869565217391304,0.0,-1.0869565217391304,decrease
Otsego County,59493.0,2594.3929829999997,22.93137562036029,54028.0,0,1,0.032,0.065,0.027000000000000003,0.096,0.779,0.0,0.0,0.0,no change
Putnam County,98320.0,596.5005969,164.82799935317215,104486.0,0,1,0.003,0.018000000000000002,0.022000000000000002,0.105,0.852,1.639344262295082,0.0,-1.639344262295082,decrease
Queens County,2253858.0,281.0916147,8018.232782950391,68666.0,1,0,0.022000000000000002,0.023,0.068,0.136,0.7509999999999999,24.871882473522376,4.160063391442155,-20.711819082080222,decrease
Rensselaer County,158714.0,1689.7871760000003,93.92543762564333,68991.0,1,0,0.018000000000000002,0.018000000000000002,0.073,0.14,0.7509999999999999,9.333333333333334,1.639344262295082,-7.693989071038252,decrease
Richmond County,476143.0,151.17771630000001,3149.5580939662595,82783.0,0,1,0.033,0.015,0.046,0.17800000000000002,0.728,9.839357429718874,2.046783625730994,-7.79257380398788,decrease
Rockland County,325789.0,449.49276449999996,724.7925344524651,93024.0,1,0,0.011000000000000001,0.018000000000000002,0.054000000000000006,0.195,0.722,1.2195121951219512,0.3731343283582089,-0.8463778667637423,decrease
Saratoga County,229863.0,2097.8401,109.57126808663826,84291.0,1,0,0.02,0.012,0.062,0.156,0.7509999999999999,0.0,0.0,0.0,no change
Schenectady County,155299.0,529.7047548,293.18030203190466,65499.0,1,0,0.04,0.006999999999999999,0.051,0.06,0.841,3.816793893129771,1.3953488372093024,-2.4214450559204685,decrease
Schoharie County,30999.0,1610.507582,19.247968992175785,57714.0,0,1,0.006999999999999999,0.02,0.04,0.10800000000000001,0.825,0.0,0.0,0.0,no change
Schuyler County,17807.0,850.3714167000002,20.940261690712582,52327.0,0,1,0.01,0.009000000000000001,0.071,0.239,0.67,0.0,0.0,0.0,no change
Seneca County,34016.0,838.4056628999999,40.572245042263305,54545.0,0,1,0.001,0.012,0.042,0.08199999999999999,0.8640000000000001,0.0,0.0,0.0,no change
St. Lawrence County,107740.0,6942.157396,15.519671170532476,50940.0,0,1,0.027000000000000003,0.028999999999999998,0.095,0.149,0.701,5.88235294117647,2.7027027027027026,-3.1796502384737675,decrease
Steuben County,95379.0,3601.536494,26.482863677460212,53663.0,0,1,0.036000000000000004,0.031,0.057,0.201,0.674,0.0,37.03703703703704,37.03703703703704,increase
Suffolk County,1476601.0,2362.20038,625.095572967438,101031.0,0,1,0.04,0.019,0.053,0.106,0.782,3.621581670362158,0.6934125804853889,-2.928169089876769,decrease
Sullivan County,75432.0,2507.447019,30.083187971039635,57426.0,0,1,0.024,0.03,0.043,0.085,0.8170000000000001,0.0,6.896551724137931,6.896551724137931,increase
Tioga County,48203.0,1343.168814,35.88752173038466,62999.0,0,1,0.019,0.011000000000000001,0.018000000000000002,0.114,0.8390000000000001,12.5,2.325581395348837,-10.174418604651162,decrease
Tompkins County,102180.0,1229.3387539999999,83.11785475527277,60240.0,1,0,0.012,0.01,0.046,0.098,0.833,0.0,0.0,0.0,no change
Ulster County,177573.0,2911.7703579999998,60.98454828765038,64304.0,1,0,0.013999999999999999,0.023,0.045,0.1,0.818,0.819672131147541,0.0,-0.819672131147541,decrease
Warren County,63944.0,2245.391831,28.477880393606902,61024.0,0,1,0.026000000000000002,0.018000000000000002,0.10400000000000001,0.13,0.723,0.0,0.0,0.0,no change
Washington County,61204.0,2152.747888,28.430639900365335,57258.0,0,1,0.026000000000000002,0.027000000000000003,0.135,0.138,0.6729999999999999,0.0,0.0,0.0,no change
Wayne County,89918.0,1563.913662,57.49550130856265,59449.0,0,1,0.001,0.016,0.061,0.132,0.789,0.0,0.0,0.0,no change
Westchester County,967506.0,1114.990695,867.7256270735066,96610.0,1,0,0.025,0.018000000000000002,0.044000000000000004,0.115,0.7979999999999999,3.254972875226039,1.4897579143389197,-1.7652149608871195,decrease
Wyoming County,39859.0,1535.2165730000002,25.963112111348995,58052.0,0,1,0.001,0.024,0.008,0.107,0.861,0.0,0.0,0.0,no change
Yates County,24913.0,875.7792186,28.446667231754294,56563.0,0,1,0.0,0.006,0.023,0.087,0.884,0.0,0.0,0.0,no change
